province,agency,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,road_description,slope_description
Prachuap Khiri Khan,department of highways,private/passenger car,illegal overtaking,rear-end collision,2,0,0,clear,other,other
Surat Thani,department of highways,4-wheel pickup truck,speeding,head-on collision (not overtaking),2,0,0,clear,straight road,no slope
Chiang Rai,department of highways,motorcycle,cutting in closely by people/vehicles/animals,collision at intersection corner,2,0,2,clear,other,other
Chiang Mai,department of highways,motorcycle,unfamiliarity with the route/unskilled driving,rollover/fallen on curved road,1,0,1,clear,wide curve,no slope
Chon Buri,department of highways,private/passenger car,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Phuket,department of highways,motorcycle,speeding,rear-end collision,2,0,2,clear,straight road,no slope
Kanchanaburi,department of highways,private/passenger car,speeding,head-on collision (not overtaking),2,0,2,clear,straight road,no slope
Kanchanaburi,department of highways,motorcycle,speeding,rollover/fallen on curved road,1,0,1,clear,wide curve,no slope
Kanchanaburi,department of highways,4-wheel pickup truck,unfamiliarity with the route/unskilled driving,rear-end collision,2,0,2,clear,connecting to public/commercial area,other
Chon Buri,department of highways,private/passenger car,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Chiang Mai,department of rural roads,motorcycle,speeding,other,1,0,1,clear,y-intersection,other
Chiang Mai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chiang Rai,department of highways,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rear-end collision,2,2,0,clear,straight road,no slope
Surat Thani,department of highways,private/passenger car,speeding,rear-end collision,2,1,3,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,3,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,rainy,straight road,no slope
Chiang Mai,department of highways,motorcycle,driving under the influence of alcohol,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Songkhla,department of highways,private/passenger car,speeding,head-on collision (not overtaking),2,0,2,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,pedestrian collision,1,2,1,clear,straight road,no slope
Chon Buri,department of highways,motorcycle,unfamiliarity with the route/unskilled driving,other,1,0,2,clear,straight road,no slope
Chiang Rai,department of highways,private/passenger car,speeding,rear-end collision,2,3,0,clear,straight road,no slope
